COMMUNE_NOM;COLL_INSEE;ENFANT_SEXE;ENFANT_PRENOM;NOMBRE_OCCURRENCES;ANNEE
ANGERS;49007;F;Laura;4;2021
ANGERS;49007;F;Layana;4;2021
ANGERS;49007;F;Olympe;4;2021
ANGERS;49007;F;Rosa;4;2021
ANGERS;49007;M;Louis;46;2021
ANGERS;49007;M;Lucas;29;2021
ANGERS;49007;M;Hugo;25;2021
ANGERS;49007;M;Naël;20;2021
ANGERS;49007;M;Gaspard;18;2021
ANGERS;49007;M;Auguste;17;2021
ANGERS;49007;M;Côme;14;2021
ANGERS;49007;M;Eden;14;2021
ANGERS;49007;M;Léonard;14;2021
ANGERS;49007;M;Marin;12;2021
ANGERS;49007;M;Maxence;12;2021
ANGERS;49007;M;Nolan;12;2021
ANGERS;49007;M;Mohamed;11;2021
ANGERS;49007;M;Charly;10;2021
ANGERS;49007;M;Mathéo;10;2021
ANGERS;49007;M;Ismaël;9;2021
ANGERS;49007;M;Simon;9;2021
ANGERS;49007;M;Aloïs;8;2021
ANGERS;49007;M;Nathan;8;2021
ANGERS;49007;M;Rafaël;8;2021
ANGERS;49007;M;Sasha;8;2021
ANGERS;49007;M;Elliot;7;2021
ANGERS;49007;M;Andrea;6;2021
ANGERS;49007;M;Esteban;6;2021
ANGERS;49007;M;Alessio;5;2021
ANGERS;49007;M;Charles;5;2021
ANGERS;49007;M;Lenny;5;2021
ANGERS;49007;M;Mattia;5;2021
ANGERS;49007;M;Milan;5;2021
ANGERS;49007;M;Mohammed;5;2021
ANGERS;49007;M;Roméo;5;2021
ANGERS;49007;M;Swan;5;2021
ANGERS;49007;M;William;5;2021
ANGERS;49007;M;Aboubacar;4;2021
ANGERS;49007;M;Léopold;4;2021
ANGERS;49007;M;Naïm;4;2021
ANGERS;49007;M;Wassim;4;2021
ANGERS;49007;F;Emma;25;2021
ANGERS;49007;F;Lina;22;2021
ANGERS;49007;F;Iris;20;2021
ANGERS;49007;F;Jeanne;20;2021
ANGERS;49007;F;Julia;20;2021
ANGERS;49007;F;Camille;19;2021
ANGERS;49007;F;Chloé;19;2021
ANGERS;49007;F;Lola;18;2021
ANGERS;49007;F;Nina;18;2021
ANGERS;49007;F;Mila;15;2021
ANGERS;49007;F;Aya;13;2021
ANGERS;49007;F;Léna;13;2021
ANGERS;49007;F;Théa;13;2021
ANGERS;49007;F;Sofia;12;2021
ANGERS;49007;F;Ella;10;2021
ANGERS;49007;F;Maria;10;2021
ANGERS;49007;F;Roxane;10;2021
ANGERS;49007;F;Nora;9;2021
ANGERS;49007;F;Louisa;7;2021
ANGERS;49007;F;Maëlle;7;2021
ANGERS;49007;F;Brune;6;2021
ANGERS;49007;F;Héloïse;6;2021
ANGERS;49007;F;Eléa;5;2021
ANGERS;49007;F;Joyce;5;2021
ANGERS;49007;F;Tess;5;2021
ANGERS;49007;F;Aïcha;4;2021
ANGERS;49007;F;Arya;4;2021
ANGERS;49007;F;Charline;4;2021
ANGERS;49007;F;Cléo;4;2021
ANGERS;49007;F;Laïa;4;2021
ANGERS;49007;M;Léo;40;2021
ANGERS;49007;M;Gabriel;39;2021
ANGERS;49007;M;Maël;35;2021
ANGERS;49007;M;Jules;34;2021
ANGERS;49007;M;Léon;34;2021
ANGERS;49007;M;Marius;24;2021
ANGERS;49007;M;Martin;20;2021
ANGERS;49007;M;Basile;17;2021
ANGERS;49007;M;Ethan;16;2021
ANGERS;49007;M;Ayden;14;2021
ANGERS;49007;M;Valentin;12;2021
ANGERS;49007;M;Tom;11;2021
ANGERS;49007;M;Pablo;10;2021
ANGERS;49007;M;Logan;9;2021
ANGERS;49007;M;Ali;8;2021
ANGERS;49007;M;Clément;7;2021
ANGERS;49007;M;Lino;7;2021
ANGERS;49007;M;Anatole;6;2021
ANGERS;49007;M;Amir;5;2021
ANGERS;49007;M;Félix;5;2021
ANGERS;49007;M;Gustave;5;2021
ANGERS;49007;M;Aubin;4;2021
ANGERS;49007;M;Diego;4;2021
ANGERS;49007;M;Farès;4;2021
ANGERS;49007;M;Henri;4;2021
ANGERS;49007;M;Mayeul;4;2021
ANGERS;49007;M;Mayron;4;2021
ANGERS;49007;M;Tao;4;2021
