"Id","Titre","Artiste","Année","Durée","Genre"
119,"Go Your Own Way ","Fleetwood Mac",1977,00:03:38,"Pop"
120,"I Want You Back ","The Jackson Five",1969,00:02:58,"Pop"
121,"Stand by Me ","Ben E. King",1961,00:03:01,"Soul – R&B"
122,"The House of the Rising Sun ","The Animals",1964,00:04:26,"Pop"
123,"It's a Man's Man's Man's World ","James Brown",1966,00:02:47,"Soul – R&B"
124,"Jumpin' Jack Flash ","The Rolling Stones",1968,00:04:59,"Rock"
125,"Will You Love Me Tomorrow ","The Shirelles",1960,00:02:41,"Pop"
126,"Shake, Rattle and Roll ","Big Joe Turner",1954,00:03:01,"Blues"
127,"Changes ","David Bowie",1971,00:03:56,"Pop"
128,"Rock & Roll Music ","Chuck Berry",1957,00:02:35,"Rock"
129,"Born to Be Wild ","Steppenwolf",1968,00:03:31,"Rock"
130,"Maggie May ","Rod Stewart",1971,00:05:50,"Rock"
131,"With or Without You ","U2",1987,00:04:55,"Pop"
132,"Who Do You Love? ","Bo Diddley",1956,00:02:28,"Rock"
133,"Won't Get Fooled Again ","The Who",1971,00:08:31,"Rock"
134,"In the Midnight Hour ","Wilson Pickett",1965,00:02:37,"Soul – R&B"
135,"While My Guitar Gently Weeps ","The Beatles",1968,00:04:46,"Rock"
136,"Your Song ","Elton John",1970,00:04:02,"Pop"
137,"Eleanor Rigby ","The Beatles",1966,00:02:06,"Rock"
138,"Family Affair ","Sly and the Family Stone",1971,00:03:05,"Pop"
139,"I Saw Her Standing There ","The Beatles",1963,00:02:53,"Rock"
140,"Kashmir ","Led Zeppelin",1975,00:08:28,"Rock"
141,"All I Have to Do Is Dream ","The Everly Brothers",1958,00:02:21,"Pop"
142,"Please, Please, Please ","James Brown and His Famous Flames",1956,00:02:47,"Soul – R&B"
143,"Purple Rain ","Prince and the Revolution",1984,00:08:44,"Pop"
144,"I Wanna Be Sedated ","Ramones",1979,00:02:29,"Rock"
145,"Everyday People ","Sly and the Family Stone",1968,00:02:21,"Soul – R&B"
146,"Rock Lobster ","The B-52's",1978,00:06:51,"Pop"
147,"Lust for Life ","Iggy Pop",1977,00:05:13,"Rock"
148,"Me and Bobby McGee ","Janis Joplin",1971,00:04:29,"Rock"
149,"Cathy's Clown ","The Everly Brothers",1960,00:02:25,"Rock"
150,"Eight Miles High ","The Byrds",1966,00:04:24,"Rock"
151,"Earth Angel ","The Penguins",1954,00:02:57,"Jazz"
152,"Foxey Lady ","The Jimi Hendrix Experience",1967,00:03:19,"Pop"
153,"A Hard Day's Night ","The Beatles",1964,00:02:34,"Rock"
154,"Rave On ","Buddy Holly and the Crickets",1958,00:01:50,"Rock"
155,"Proud Mary ","Creedence Clearwater Revival",1969,00:03:06,"Country"
156,"The Sound of Silence ","Simon and Garfunkel",1964,00:03:10,"Pop"
157,"I Only Have Eyes for You ","The Flamingos",1959,00:03:23,"Soul – R&B"
158,"(We're Gonna) Rock Around the Clock ","Bill Haley and His Comets",1955,00:02:09,"Rock"
159,"I'm Waiting for the Man ","The Velvet Underground",1966,00:04:36,"Pop"
160,"Bring the Noise ","Public Enemy",1987,00:06:37,"Electro"
161,"I Can't Stop Loving You ","Ray Charles",1962,00:04:16,"Blues"
162,"Nothing Compares 2 U ","Sinéad O'Connor",1990,00:04:40,"Pop"
163,"Bohemian Rhapsody ","Queen",1975,00:05:54,"Rock"
164,"Folsom Prison Blues ","Johnny Cash",1955,00:02:49,"Rock"
165,"Fast Car ","Tracy Chapman",1988,00:04:56,"Folk"
166,"Lose Yourself ","Eminem",2000,00:05:20,"Rap – Hip-Hop"
167,"Let's Get It On ","Marvin Gaye",1973,00:04:51,"Soul – R&B"
168,"Papa Was a Rollin' Stone ","The Temptations",1972,00:06:55,"Soul – R&B"
169,"Losing My Religion ","R.E.M.",1991,00:04:28,"Rock"
170,"Both Sides Now ","Joni Mitchell",1968,00:05:45,"Jazz"
171,"Dancing Queen ","ABBA",1976,00:03:51,"Electro"
172,"Dream On ","Aerosmith",1973,00:04:27,"Rock"
173,"God Save the Queen ","Sex Pistols",1977,00:03:19,"Indé et Alternatif"
174,"Paint It, Black ","The Rolling Stones",1966,00:03:22,"Rock"
175,"I Fought the Law ","The Bobby Fuller Four",1965,00:02:15,"Rock"
176,"Don't Worry Baby ","The Beach Boys",1964,00:02:49,"Rock"
177,"Free Fallin' ","Tom Petty",1989,00:04:15,"Rock"
178,"September Gurls ","Big Star",1974,00:03:01,"Rock"
179,"Love Will Tear Us Apart ","Joy Division",1980,00:03:24,"Indé et Alternatif"
180,"Hey Ya! ","OutKast",2003,00:03:55,"Rap – Hip-Hop"
181,"Green Onions ","Booker T. and the M.G.'s",1962,00:02:56,"Soul – R&B"
182,"Save the Last Dance for Me ","The Drifters",1960,00:02:29,"Soul – R&B"
183,"The Thrill Is Gone ","B. B. King",1969,00:05:25,"Blues"
184,"Please Please Me ","The Beatles",1963,00:02:00,"Rock"
185,"Desolation Row ","Bob Dylan",1965,00:11:19,"Folk"
186,"I Never Loved a Man (the Way I Love You) ","Aretha Franklin",1967,00:02:51,"Soul – R&B"
187,"Back in Black ","AC/DC",1980,00:04:15,"Rock"
188,"Who'll Stop the Rain ","Creedence Clearwater Revival",1970,00:02:26,"Rock"
189,"Stayin' Alive ","Bee Gees",1977,00:04:43,"Pop"
190,"Knockin' on Heaven's Door ","Bob Dylan",1973,00:02:30,"Folk"
191,"Free Bird ","Lynyrd Skynyrd",1974,00:09:18,"Rock"
192,"Wichita Lineman ","Glen Campbell",1968,00:03:06,"Country"
193,"There Goes My Baby ","The Drifters",1959,00:02:11,"Soul – R&B"
194,"Peggy Sue ","Buddy Holly",1957,00:02:30,"Rock"
195,"Maybe ","The Chantels",1957,00:02:56,"Soul – R&B"
196,"Sweet Child O' Mine ","Guns N' Roses",1988,00:05:56,"Rock"
197,"Don't Be Cruel ","Elvis Presley",1956,00:02:02,"Pop"
198,"Hey Joe ","The Jimi Hendrix Experience",1966,00:03:30,"Pop"
199,"Flash Light ","Parliament",1977,00:05:46,"Soul – R&B"
200,"Loser ","Beck",1993,00:03:55,"Pop"
201,"Bizarre Love Triangle ","New Order",1986,00:03:50,"Jazz"
202,"Come Together ","The Beatles",1969,00:04:19,"Rock"
203,"Positively 4th Street ","Bob Dylan",1965,00:04:07,"Rock"
204,"Try a Little Tenderness ","Otis Redding",1966,00:03:17,"Pop"
205,"Lean on Me ","Bill Withers",1972,00:04:18,"Soul – R&B"
206,"Reach Out I'll Be There ","The Four Tops",1966,00:03:02,"Pop"
207,"Bye Bye Love ","The Everly Brothers",1957,00:02:22,"Rock"
208,"Gloria ","Them",1964,00:02:40,"Rock"
209,"In My Room ","The Beach Boys",1963,00:02:13,"Jazz"
210,"96 Tears ","Question Mark and the Mysterians",1966,00:05:21,"Rock"
211,"Caroline, No ","The Beach Boys",1966,00:02:50,"Pop"
212,1999,"Prince",1982,00:06:19,"Pop"
213,"Your Cheatin' Heart ","Hank Williams",1953,00:02:43,"Country"
214,"Rockin' in the Free World ","Neil Young",1989,00:04:41,"Rock"
215,"Sh-Boom ","The Chords",1954,00:02:27,"Soul – R&B"
216,"Do You Believe in Magic ","The Lovin' Spoonful",1965,00:02:05,"Rock"
217,"Jolene ","Dolly Parton",1974,00:02:43,"Country"
218,"Boom Boom ","John Lee Hooker",1961,00:04:19,"Pop"
219,"Spoonful ","Howlin' Wolf",1960,00:02:42,"Blues"
220,"Walk Away Renée ","The Left Banke",1966,00:02:44,"Rock"
221,"Walk on the Wild Side ","Lou Reed",1972,00:04:15,"Indé et Alternatif"
222,"Oh, Pretty Woman ","Roy Orbison",1964,00:02:58,"Pop"
223,"Dance to the Music ","Sly and the Family Stone",1968,00:02:59,"Pop"
224,"Good Times ","Chic",1979,00:08:15,"Soul – R&B"
225,"Hoochie Coochie Man ","Muddy Waters",1954,00:02:51,"Blues"
226,"Moondance ","Van Morrison",1977,00:04:34,"Rock"
227,"Fire and Rain ","James Taylor",1970,00:03:20,"Rock"
228,"Should I Stay or Should I Go ","The Clash",1982,00:03:09,"Indé et Alternatif"
229,"Mannish Boy ","Muddy Waters",1955,00:05:24,"Blues"
230,"Just Like a Woman ","Bob Dylan",1966,00:04:51,"Folk"
231,"Sexual Healing ","Marvin Gaye",1982,00:03:58,"Soul – R&B"
232,"Only the Lonely ","Roy Orbison",1960,00:02:27,"Pop"
233,"We Gotta Get out of This Place ","The Animals",1965,00:03:15,"Pop"
234,"I'll Feel a Whole Lot Better ","The Byrds",1965,00:02:29,"Pop"
235,"I Got a Woman ","Ray Charles",1954,00:02:55,"Soul – R&B"
236,"Everyday ","Buddy Holly and the Crickets",1957,00:02:08,"Rock"
237,"Planet Rock ","Afrika Bambaataa and the Soulsonic Force",1982,00:06:22,"Rap – Hip-Hop"
238,"I Fall to Pieces ","Patsy Cline",1961,00:02:50,"Pop"
239,"The Wanderer ","Dion",1961,00:02:42,"Pop"
240,"Son of a Preacher Man ","Dusty Springfield",1968,00:02:28,"Pop"
241,"Stand! ","Sly and the Family Stone",1969,00:03:07,"Soul – R&B"
242,"Rocket Man ","Elton John",1972,00:04:42,"Pop"
243,"Love Shack ","The B-52's",1989,00:05:21,"Indé et Alternatif"
244,"Gimme Some Lovin' ","The Spencer Davis Group",1966,00:02:56,"Pop"
245,"The Night They Drove Old Dixie Down ","The Band",1969,00:03:31,"Country"
246,"(Your Love Keeps Lifting Me) Higher and Higher ","Jackie Wilson",1967,00:03:01,"Rock"
247,"Hot Fun in the Summertime ","Sly and the Family Stone",1969,00:02:37,"Pop"
248,"Rapper's Delight ","The Sugarhill Gang",1979,00:03:59,"Electro"
249,"Chain of Fools ","Aretha Franklin",1967,00:02:43,"Soul – R&B"
250,"Paranoid ","Black Sabbath",1970,00:02:48,"Rock"
251,"Mack the Knife ","Bobby Darin",1959,00:03:05,"Jazz"
252,"Money Honey ","The Drifters",1953,00:02:57,"Soul – R&B"
253,"All the Young Dudes ","Mott the Hoople",1972,00:03:31,"Rock"
254,"Highway to Hell ","AC/DC",1979,00:03:28,"Hard Rock – Metal"
255,"Heart of Glass ","Blondie",1979,00:04:12,"Pop"
256,"Paranoid Android ","Radiohead",1997,00:06:27,"Indé et Alternatif"
257,"Wild Thing ","The Troggs",1965,00:03:55,"Rock"
