Année;Département (code);Département (libellé);Commune active (code);Commune active (libellé);Nombre de personnes;Nombre de personnes de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus ayant un emploi
2013;49;Maine-et-Loire;49319;Saint-Sauveur-de-Flée;316.0;216.0;152.0;152.0
2013;53;Mayenne;53045;Brûlatte;680.0;491.0;235.0;273.0
2013;53;Mayenne;53069;Chevaigné-du-Maine;178.0;161.0;62.0;55.0
2013;53;Mayenne;53140;Louverné;4025.0;3115.0;1825.0;1790.0
2013;53;Mayenne;53150;Ménil;984.0;743.0;491.0;480.0
2013;53;Mayenne;53225;Saint-Germain-le-Guillaume;476.0;345.0;213.0;204.0
2013;53;Mayenne;53253;Saint-Saturnin-du-Limet;505.0;389.0;227.0;185.0
2013;72;Sarthe;72003;Allonnes;11037.0;8997.0;4204.0;3382.0
2013;72;Sarthe;72007;Ardenay-sur-Mérize;481.0;359.0;220.0;185.0
2013;72;Sarthe;72036;Béthon;333.0;247.0;151.0;144.0
2013;72;Sarthe;72048;Briosne-lès-Sables;549.0;426.0;292.0;244.0
2013;72;Sarthe;72061;Chapelle-d'Aligné;1602.0;1183.0;687.0;700.0
2013;72;Sarthe;72071;Château-du-Loir;4740.0;4042.0;1830.0;1547.0
2013;72;Sarthe;72074;Chemiré-en-Charnie;216.0;185.0;100.0;76.0
2013;72;Sarthe;72097;Coulombiers;446.0;305.0;126.0;172.0
2013;72;Sarthe;72109;Crissé;576.0;404.0;174.0;224.0
2013;72;Sarthe;72159;Lavenay;350.0;302.0;151.0;156.0
2013;72;Sarthe;72178;Maisoncelles;182.0;136.0;90.0;84.0
2013;72;Sarthe;72180;Mamers;5352.0;4459.0;2025.0;1655.0
2013;72;Sarthe;72247;Pruillé-le-Chétif;1268.0;999.0;557.0;633.0
2013;72;Sarthe;72262;Ruillé-sur-Loir;1181.0;1033.0;427.0;404.0
2013;72;Sarthe;72291;Saint-Jean-de-la-Motte;865.0;652.0;296.0;353.0
2013;72;Sarthe;72322;Saint-Ulphace;237.0;186.0;102.0;60.0
2013;72;Sarthe;72377;Villaines-sous-Malicorne;1024.0;790.0;471.0;444.0
2013;85;Vendée;85015;Beaufou;1343.0;952.0;628.0;653.0
2013;85;Vendée;85045;Chaize-Giraud;1005.0;779.0;313.0;412.0
2013;85;Vendée;85065;Chavagnes-en-Paillers;3490.0;2783.0;1695.0;1576.0
2013;85;Vendée;85094;Foussais-Payré;1143.0;967.0;520.0;460.0
2013;85;Vendée;85125;Loge-Fougereuse;355.0;251.0;113.0;162.0
2013;85;Vendée;85143;Mervent;1062.0;881.0;492.0;424.0
2013;85;Vendée;85168;Oulmes;780.0;567.0;282.0;341.0
2014;85;Vendée;85101;Givre;480.0;370.0;208.0;210.0
2014;85;Vendée;85148;Montreuil;794.0;627.0;388.0;375.0
2014;85;Vendée;85158;Mouzeuil-Saint-Martin;1232.0;981.0;576.0;480.0
2014;85;Vendée;85277;Saint-Vincent-sur-Graon;1413.0;1090.0;557.0;598.0
2015;44;Loire-Atlantique;44018;Bouaye;7300.0;5728.0;3648.0;3245.0
2015;44;Loire-Atlantique;44111;Notre-Dame-des-Landes;2085.0;1535.0;979.0;1035.0
2015;44;Loire-Atlantique;44163;Vair-sur-Loire;4576.0;3365.0;2248.0;1995.0
2015;49;Maine-et-Loire;49017;Baracé;556.0;369.0;177.0;203.0
2015;49;Maine-et-Loire;49027;Bégrolles-en-Mauges;2001.0;1486.0;920.0;949.0
2015;49;Maine-et-Loire;49091;Chemellier;0.0;0.0;0.0;0.0
2015;49;Maine-et-Loire;49246;Ponts-de-Cé;12478.0;10249.0;5426.0;4798.0
2015;49;Maine-et-Loire;49261;Rosiers-sur-Loire;2305.0;1872.0;1012.0;925.0
2015;49;Maine-et-Loire;49269;Saint-Christophe-du-Bois;2633.0;2093.0;1237.0;1148.0
2015;53;Mayenne;53023;Bazouge-des-Alleux;520.0;312.0;188.0;244.0
2015;53;Mayenne;53075;Cosmes;287.0;220.0;137.0;115.0
2015;53;Mayenne;53118;Housseau-Brétignolles;258.0;192.0;107.0;92.0
2015;53;Mayenne;53140;Louverné;4153.0;3206.0;1778.0;1755.0
2015;53;Mayenne;53198;Saint-Aubin-du-Désert;233.0;164.0;44.0;80.0
2015;53;Mayenne;53214;Saint-Erblon;173.0;132.0;94.0;70.0
2015;53;Mayenne;53242;Saint-Michel-de-la-Roë;261.0;201.0;113.0;85.0
2015;72;Sarthe;72214;Nauvay;11.0;10.0;7.0;5.0
2015;72;Sarthe;72231;Parigné-l'Évêque;4902.0;3987.0;2240.0;2069.0
2015;72;Sarthe;72248;Pruillé-l'Éguillé;812.0;607.0;386.0;371.0
2015;72;Sarthe;72251;René;368.0;290.0;169.0;156.0
2015;72;Sarthe;72355;Thoiré-sous-Contensor;69.0;30.0;8.0;39.0
2015;72;Sarthe;72364;Vaas;1522.0;1273.0;658.0;565.0
2015;72;Sarthe;72380;Vivoin;930.0;721.0;305.0;354.0
2015;85;Vendée;85055;Chapelle-Palluau;930.0;687.0;355.0;428.0
2015;85;Vendée;85151;Mortagne-sur-Sèvre;5953.0;4830.0;2687.0;2533.0
2015;85;Vendée;85197;Montréverd;3569.0;2643.0;1784.0;1780.0
2013;85;Vendée;85255;Saint-Michel-en-l'Herm;2303.0;1957.0;635.0;684.0
2013;85;Vendée;85299;Velluire;613.0;470.0;252.0;247.0
2014;44;Loire-Atlantique;44134;Pouillé-les-Côteaux;965.0;707.0;538.0;458.0
2014;72;Sarthe;72361;Tresson;454.0;369.0;217.0;183.0
2014;85;Vendée;85012;Barre-de-Monts;2171.0;1854.0;717.0;676.0
2014;85;Vendée;85093;Fougeré;1162.0;841.0;473.0;512.0
2014;85;Vendée;85174;Petosse;685.0;515.0;336.0;293.0
2014;85;Vendée;85255;Saint-Michel-en-l'Herm;2326.0;1971.0;634.0;684.0
2015;44;Loire-Atlantique;44019;Bouée;927.0;686.0;371.0;380.0
2015;44;Loire-Atlantique;44066;Grandchamps-des-Fontaines;5656.0;4231.0;2888.0;2803.0
2015;44;Loire-Atlantique;44072;Herbignac;6570.0;5095.0;3021.0;2815.0
2015;44;Loire-Atlantique;44084;Loroux-Bottereau;8022.0;6169.0;4127.0;3708.0
2015;44;Loire-Atlantique;44085;Louisfert;1009.0;767.0;461.0;445.0
2015;44;Loire-Atlantique;44131;Pornic;14893.0;12725.0;5760.0;5141.0
2015;44;Loire-Atlantique;44166;Saint-Jean-de-Boiseau;5555.0;4236.0;2615.0;2327.0
2015;49;Maine-et-Loire;49065;Champigné;5507.0;4219.0;2567.0;2483.0
2015;49;Maine-et-Loire;49198;Meigné;0.0;0.0;0.0;0.0
2015;49;Maine-et-Loire;49371;Vezins;1682.0;1320.0;723.0;807.0
2015;53;Mayenne;53047;Carelles;247.0;172.0;48.0;95.0
2015;53;Mayenne;53051;Champéon;565.0;436.0;194.0;220.0
2015;53;Mayenne;53112;Ham;398.0;322.0;188.0;160.0
2015;53;Mayenne;53210;Saint-Denis-d'Anjou;1538.0;1208.0;525.0;515.0
2015;53;Mayenne;53223;Saint-Germain-de-Coulamer;366.0;298.0;149.0;116.0
2015;72;Sarthe;72018;Avesnes-en-Saosnois;77.0;45.0;15.0;41.0
2015;72;Sarthe;72041;Bouër;321.0;238.0;166.0;185.0
2015;72;Sarthe;72101;Courcemont;682.0;528.0;354.0;344.0
2015;72;Sarthe;72150;Joué-l'Abbé;1290.0;990.0;656.0;590.0
2015;72;Sarthe;72169;Louplande;1462.0;1105.0;668.0;612.0
2015;72;Sarthe;72181;Mans;143315.0;118365.0;64664.0;52332.0
2015;72;Sarthe;72230;Parigné-le-Pôlin;1082.0;839.0;465.0;470.0
2015;72;Sarthe;72247;Pruillé-le-Chétif;1322.0;1065.0;679.0;680.0
2015;72;Sarthe;72326;Saosnes;211.0;162.0;109.0;80.0
2015;72;Sarthe;72349;Teillé;489.0;393.0;250.0;186.0
2013;72;Sarthe;72088;Congé-sur-Orne;345.0;264.0;195.0;155.0
2013;72;Sarthe;72091;Contilly;122.0;82.0;26.0;59.0
2013;72;Sarthe;72165;Lombron;1933.0;1529.0;956.0;872.0
2013;72;Sarthe;72167;Louailles;737.0;523.0;381.0;348.0
2013;72;Sarthe;72177;Maigné;325.0;217.0;96.0;154.0
2013;72;Sarthe;72222;Nouans;284.0;217.0;126.0;110.0
2013;72;Sarthe;72239;Poillé-sur-Vègre;617.0;476.0;316.0;310.0
2013;72;Sarthe;72241;Montfort-le-Gesnois;3029.0;2453.0;1378.0;1327.0
2013;72;Sarthe;72253;Roézé-sur-Sarthe;2698.0;2125.0;1248.0;1241.0
2013;72;Sarthe;72320;Saint-Saturnin;2473.0;1998.0;1221.0;1093.0
2013;72;Sarthe;72325;Saint-Vincent-du-Lorouër;893.0;718.0;362.0;285.0
2013;85;Vendée;85062;Châteauneuf;957.0;685.0;373.0;381.0
2013;85;Vendée;85078;Damvix;761.0;642.0;322.0;284.0
2013;85;Vendée;85095;Froidfond;1712.0;1246.0;905.0;792.0
2013;85;Vendée;85116;Jonchère;411.0;346.0;169.0;140.0
2013;85;Vendée;85141;Menomblet;603.0;432.0;198.0;252.0
2013;85;Vendée;85174;Petosse;653.0;460.0;216.0;264.0
2013;85;Vendée;85245;Saint-Martin-des-Fontaines;145.0;96.0;22.0;45.0
2013;85;Vendée;85274;Saint-Valérien;513.0;406.0;221.0;216.0
2013;85;Vendée;85294;Tranche-sur-Mer;2763.0;2466.0;861.0;727.0
2014;44;Loire-Atlantique;44075;Issé;1859.0;1459.0;845.0;680.0
2014;44;Loire-Atlantique;44103;Montoir-de-Bretagne;7027.0;5518.0;3153.0;2941.0
